id;Nome;Idade;DataDeNascimento;Empresa;Departamento;Salário;;;
75903;Ifeoma K. Alvarez;53;27/6/1971;Yahoo;Public Relations;6433,44;;;
77944;Aileen F. Flynn;65;16/6/1959;Cakewalk;Payroll;4154,75;;;
49799;Galvin O. Sharp;28;5/4/1996;Apple Systems;Sales and Marketing;8057,17;;;
70322;Keaton U. Shelton;25;24/9/1999;Apple Systems;Public Relations;9856,62;;;
67826;Barbara K. May;70;7/9/1954;Yahoo;Public Relations;6334,77;;;
32572;Hasad L. Blackwell;20;21/5/2004;Google;Sales and Marketing;9225,53;;;
8838;Carly W. Beach;60;6/8/1964;Borland;Payroll;9046,85;;;
99581;Kameko X. Little;37;8/7/1987;Lavasoft;Tech Support;8342,57;;;
53817;Dai F. Holland;68;11/9/1956;Sibelius;Finances;2991,52;;;
99831;Chase H. Tate;50;20/12/1974;Yahoo;Payroll;9028,34;;;
22975;Benedict Y. Moran;52;14/4/1972;Cakewalk;Human Resources;5953,09;;;
37792;Lacey U. Hammond;52;12/3/1972;Macromedia;Sales and Marketing;2976,64;;;
17587;Dylan D. Snow;28;24/11/1996;Microsoft;Public Relations;1444,66;;;
92281;Tobias O. Cherry;65;9/3/1959;Borland;Sales and Marketing;1239,3;;;
31178;Jaime K. Riley;36;2/10/1988;Lycos;Accounting;7824,79;;;
86263;Callie J. Lott;40;11/6/1984;Cakewalk;Tech Support;7296,41;;;
20310;Faith F. Mccall;18;4/2/2006;Finale;Accounting;5225,83;;;
84858;Vivien I. Snyder;64;21/1/1960;Yahoo;Quality Assurance;2087,11;;;
32018;Price X. Chapman;25;25/1/1999;Lavasoft;Public Relations;4387,16;;;
91648;Quinn L. Knowles;37;8/10/1987;Finale;Customer Service;6168,08;;;
42182;Malik H. Floyd;28;6/12/1996;Adobe;Sales and Marketing;6220,9;;;
94568;Myra C. Boyd;34;5/11/1990;Sibelius;Media Relations;7784,05;;;
81073;Aristotle R. Acosta;61;1/11/1963;Sibelius;Public Relations;5248,42;;;
87352;Rowan S. Travis;53;13/10/1971;Macromedia;Tech Support;9853,73;;;
16450;Callum U. Anderson;43;23/9/1981;Lavasoft;Customer Relations;6494,93;;;
19917;McKenzie Q. Fitzpatrick;55;7/3/1969;Adobe;Finances;8569,92;;;
25292;Olga D. Charles;25;1/4/1999;Borland;Payroll;6164,59;;;
99641;Molly I. Farmer;52;11/3/1972;Yahoo;Human Resources;2890,9;;;
55285;Anjolie K. Vance;25;4/12/1999;Macromedia;Customer Relations;1374,01;;;
61076;Ocean W. Waller;56;2/10/1968;Adobe;Asset Management;6588,2;;;
66366;Jordan Q. Delaney;52;23/11/1972;Yahoo;Legal Department;9003,2;;;
26934;Illiana O. Bonner;55;21/12/1969;Macromedia;Customer Relations;6257,93;;;
39269;Jared I. Boyle;57;23/12/1967;Google;Legal Department;3931,25;;;
19842;Iliana O. Golden;58;21/5/1966;Apple Systems;Payroll;3408,52;;;
41547;Wallace E. Sharp;19;21/5/2005;Google;Advertising;8697,36;;;
90887;Adara L. Callahan;55;17/9/1969;Altavista;Sales and Marketing;3657,14;;;
98748;Troy X. Juarez;27;25/5/1997;Altavista;Tech Support;1350,87;;;
3375;Irene V. Winters;32;10/8/1992;Cakewalk;Sales and Marketing;6165,85;;;
86787;Zeus V. Mccarthy;18;4/5/2006;Microsoft;Tech Support;6019,36;;;
11517;Sydnee E. Fuller;26;6/6/1998;Lycos;Advertising;6681,74;;;
42551;Maisie Q. Dixon;55;9/3/1969;Google;Finances;8849,49;;;
1101;Rahim T. Watson;70;11/4/1954;Yahoo;Customer Service;5023,87;;;
61277;Harper X. Parsons;27;11/8/1997;Sibelius;Research and Development;8547,65;;;
58378;Jennifer P. Fischer;67;22/8/1957;Yahoo;Human Resources;5206,53;;;
59594;Fiona X. Avila;70;21/9/1954;Chami;Quality Assurance;7873,81;;;
78558;Wesley U. Hurley;50;26/9/1974;Lycos;Customer Relations;7258,54;;;
84733;Ginger H. Jordan;30;17/4/1994;Lycos;Research and Development;9456,46;;;
15374;Dominic L. Robles;58;17/4/1966;Lycos;Research and Development;5355,62;;;
75899;Jin H. Frye;27;9/3/1997;Apple Systems;Asset Management;9329,98;;;
35391;Kiayada R. Washington;70;9/9/1954;Lavasoft;Public Relations;2651,73;;;
13198;Ferdinand S. Blankenship;59;26/9/1965;Macromedia;Public Relations;1589,37;;;
61769;Macy S. Herring;35;10/12/1989;Yahoo;Research and Development;4044,24;;;
89350;Abbot U. Newman;35;6/2/1989;Apple Systems;Human Resources;5322,81;;;
76788;Skyler X. Collins;33;20/4/1991;Altavista;Human Resources;4576,73;;;
10036;Paki U. Castillo;42;16/6/1982;Apple Systems;Quality Assurance;9426,56;;;
33816;Ian H. Adams;48;28/4/1976;Chami;Sales and Marketing;2409,03;;;
76423;Kaden W. Potts;52;7/5/1972;Cakewalk;Payroll;6258,28;;;
70144;Summer L. Walton;55;10/1/1969;Adobe;Legal Department;5770,24;;;
52274;Ima X. Lott;70;4/3/1954;Yahoo;Customer Relations;6320,03;;;
57083;Thomas L. Carlson;34;2/1/1990;Sibelius;Sales and Marketing;5497,58;;;
94358;Marvin K. Fuentes;61;2/11/1963;Cakewalk;Customer Service;3588,87;;;
67741;Curran U. York;39;16/12/1985;Altavista;Payroll;8726,39;;;
10673;Lyle V. Malone;49;10/7/1975;Adobe;Payroll;4050,96;;;
74345;Meredith O. Estrada;30;26/5/1994;Altavista;Public Relations;6077,68;;;
47789;Caldwell D. Swanson;33;12/2/1991;Sibelius;Public Relations;4812,56;;;
87618;Dennis T. Casey;35;18/5/1989;Sibelius;Quality Assurance;2998,93;;;
37408;Amelia C. Guerra;40;11/5/1984;Lavasoft;Sales and Marketing;7425,66;;;
65036;Kiara L. Graves;51;9/1/1973;Yahoo;Customer Service;9381,28;;;
45102;Justin A. Wilkins;51;6/5/1973;Microsoft;Legal Department;1503,91;;;
10150;Garth U. Rocha;31;8/11/1993;Apple Systems;Tech Support;1762,12;;;
4677;Rana H. Shepherd;54;14/2/1970;Chami;Quality Assurance;1137,51;;;
49449;Gray J. Sharpe;64;9/8/1960;Chami;Media Relations;5507,55;;;
33758;Ralph T. Short;62;3/2/1962;Chami;Media Relations;8622,3;;;
914;Jessamine L. Dean;69;21/4/1955;Adobe;Finances;6181,2;;;
21145;Berk U. Suarez;52;6/8/1972;Cakewalk;Media Relations;5497,33;;;
37125;Shafira G. Chen;47;11/8/1977;Google;Research and Development;5941,38;;;
56571;Harlan Z. Hull;31;3/9/1993;Finale;Human Resources;8766,41;;;
18152;Aileen W. Gonzalez;69;13/9/1955;Cakewalk;Accounting;9503,37;;;
51056;Hammett U. Reyes;69;3/11/1955;Cakewalk;Legal Department;6494,48;;;
29401;Brianna O. Weeks;32;29/5/1992;Microsoft;Human Resources;4384,36;;;
29312;Lillian Q. Hendrix;55;11/12/1969;Chami;Payroll;9888,16;;;
78220;James P. Bryan;66;3/6/1958;Macromedia;Customer Relations;6914,78;;;
55230;Aladdin K. Savage;61;12/7/1963;Altavista;Finances;1662,19;;;
28458;Hasad H. Weeks;38;3/9/1986;Sibelius;Legal Department;1297,35;;;
16031;Baxter X. Manning;37;20/7/1987;Google;Sales and Marketing;3873,2;;;
2336;Hu V. Hopper;45;19/6/1979;Altavista;Finances;7867,7;;;
90327;Brent W. Crosby;49;8/1/1975;Altavista;Sales and Marketing;6776,11;;;
6155;Hakeem E. Nelson;41;23/7/1983;Apple Systems;Legal Department;2549,78;;;
26780;Knox A. Collins;70;21/5/1954;Sibelius;Media Relations;2811,59;;;
78109;Lydia W. Nelson;57;18/11/1967;Google;Accounting;4045,87;;;
17397;Rajah J. Parker;46;9/3/1978;Adobe;Legal Department;9616,27;;;
4867;Peter Z. Monroe;24;2/2/2000;Apple Systems;Advertising;3547,11;;;
35503;Sophia Q. Mcdowell;24;6/8/2000;Chami;Asset Management;3011,31;;;
29763;Rhonda R. Little;39;14/8/1985;Sibelius;Human Resources;3653,58;;;
48442;Xyla E. Kemp;66;8/9/1958;Chami;Customer Service;9457,87;;;
1600;Cadman P. Flynn;65;28/5/1959;Altavista;Customer Relations;5917,67;;;
17870;Aretha L. Fowler;33;25/11/1991;Chami;Research and Development;6209,66;;;
75417;Clarke G. Hernandez;64;14/10/1960;Chami;Quality Assurance;1980,05;;;
95275;Indigo Z. Stephenson;65;17/7/1959;Apple Systems;Human Resources;6835,45;;;
84508;Lance O. Pennington;21;13/7/2003;Lycos;Sales and Marketing;6804,33;;;
12958;Jessica A. Juarez;24;7/2/2000;Google;Payroll;2648,21;;;
73202;Bethany U. Mueller;41;18/10/1983;Altavista;Quality Assurance;7802,12;;;
85294;Althea G. Weaver;67;26/9/1957;Yahoo;Legal Department;5950,69;;;
68292;April C. Burns;26;3/12/1998;Lavasoft;Public Relations;9952,58;;;
27913;Paki W. Fisher;26;28/3/1998;Macromedia;Quality Assurance;1636,74;;;
1578;Herrod O. Kim;39;9/10/1985;Finale;Finances;5953,98;;;
46071;Travis A. Pope;59;2/1/1965;Macromedia;Research and Development;5303,53;;;
48151;Shaeleigh D. Todd;42;8/1/1982;Altavista;Finances;8531,36;;;
84185;Gretchen E. Ross;69;10/9/1955;Borland;Customer Relations;9142,88;;;
12247;Cara R. Abbott;43;6/3/1981;Adobe;Accounting;1571,15;;;
8305;Quyn X. Vargas;35;19/9/1989;Microsoft;Customer Service;4543,48;;;
30488;Mira G. Weaver;42;8/4/1982;Cakewalk;Accounting;2836,94;;;
42181;Mona E. Lawson;65;21/10/1959;Finale;Accounting;8601,23;;;
71436;Xandra R. Hopper;36;1/4/1988;Borland;Human Resources;8326,13;;;
66345;Quentin D. Albert;36;29/11/1988;Yahoo;Public Relations;3726,46;;;
57625;Zena G. Joyner;35;25/4/1989;Lycos;Human Resources;4496,08;;;
70743;Cara T. Camacho;52;8/7/1972;Sibelius;Customer Relations;5819,79;;;
27093;Melissa M. Leon;49;20/8/1975;Chami;Legal Department;8664,51;;;
46475;Kennan A. Holloway;69;7/9/1955;Lycos;Customer Relations;6004,13;;;
74762;Merritt T. Richard;43;13/7/1981;Chami;Research and Development;6512,12;;;
50714;Blake I. Hancock;52;28/2/1972;Apple Systems;Public Relations;2258,6;;;
97369;Avram C. Odom;64;13/2/1960;Finale;Customer Relations;4037,23;;;
6993;Uma B. York;37;1/11/1987;Borland;Finances;4722,21;;;
41636;Sade R. Cash;45;8/7/1979;Chami;Customer Relations;8097,21;;;
56947;Melanie E. English;47;28/2/1977;Sibelius;Public Relations;7615,01;;;
45735;Blake R. Valentine;31;22/6/1993;Adobe;Customer Relations;6850,56;;;
25803;Rebekah L. Brady;52;11/5/1972;Google;Advertising;4727,91;;;
70772;Audrey Z. Williams;43;11/9/1981;Microsoft;Public Relations;1876,15;;;
97778;Kieran N. Ortega;19;2/1/2005;Macromedia;Public Relations;4697,37;;;
65871;Amir C. Kelly;28;17/7/1996;Finale;Finances;8424,13;;;
82276;Amela T. Phillips;64;23/8/1960;Google;Payroll;5227,56;;;
42557;Jonah X. Cain;68;26/9/1956;Adobe;Finances;7419,39;;;
13709;Desirae H. Travis;49;21/7/1975;Sibelius;Asset Management;5597,32;;;
43135;Kelly I. Munoz;26;19/5/1998;Altavista;Finances;1016,75;;;
38257;Leandra K. Phelps;21;9/10/2003;Lycos;Tech Support;4668,15;;;
51594;Erin A. Perkins;61;8/5/1963;Sibelius;Quality Assurance;5173,07;;;
40342;Eliana F. Dorsey;21;26/6/2003;Cakewalk;Customer Relations;5570,04;;;
1522;Jesse U. Grimes;46;11/11/1978;Apple Systems;Customer Relations;1856,64;;;
18328;Halla N. Barry;44;22/2/1980;Chami;Quality Assurance;6868,52;;;
52894;Amy X. Mcneil;23;13/12/2001;Altavista;Legal Department;9116,09;;;
2603;Daphne K. Benjamin;50;16/3/1974;Altavista;Customer Relations;4394,82;;;
41479;Lydia D. Best;57;24/11/1967;Macromedia;Human Resources;7180,34;;;
55201;Vielka D. Paul;36;6/6/1988;Microsoft;Customer Relations;2397,04;;;
33401;Donovan A. Ware;32;27/9/1992;Apple Systems;Customer Relations;4908,07;;;
13247;Chloe C. Osborne;67;23/6/1957;Cakewalk;Human Resources;8900,94;;;
26530;Graiden X. Madden;20;16/7/2004;Apple Systems;Asset Management;5636,73;;;
43330;Chandler P. Richard;27;14/7/1997;Chami;Customer Service;6567,27;;;
34192;Lawrence Z. Kirby;18;17/8/2006;Chami;Asset Management;7610,31;;;
79155;Nasim K. Gates;37;17/7/1987;Chami;Public Relations;8970,3;;;
78090;Melissa W. Duffy;44;10/11/1980;Lycos;Media Relations;1887,77;;;
43892;Amos L. Ellis;63;22/10/1961;Microsoft;Research and Development;4739,68;;;
50183;Laurel A. Owens;67;20/5/1957;Sibelius;Research and Development;5418,71;;;
42987;Christopher G. Burnett;43;7/7/1981;Lycos;Research and Development;2403,89;;;
25811;Dustin J. Larsen;67;16/3/1957;Macromedia;Public Relations;8773,33;;;
50697;Simon U. Heath;43;21/7/1981;Google;Media Relations;8932,49;;;
90118;Madonna O. Booth;54;12/2/1970;Microsoft;Finances;5679,28;;;
91668;Lael E. Dixon;29;20/4/1995;Borland;Legal Department;2487,87;;;
39302;Brianna R. Holloway;24;10/7/2000;Macromedia;Finances;4375,3;;;
42423;Channing D. Finley;60;19/4/1964;Apple Systems;Payroll;1064,09;;;
1055;Xandra W. Alford;43;20/5/1981;Google;Human Resources;9816,6;;;
77910;Price W. Cantrell;45;18/8/1979;Macromedia;Payroll;1189,92;;;
39114;Troy K. Griffith;22;26/13/2002;Lavasoft;Quality Assurance;6763,06;;;
558;Jarrod L. Allison;69;18/3/1955;Altavista;Customer Relations;3102,05;;;
44265;Elvis S. Davis;19;21/11/2005;Macromedia;Accounting;5556,71;;;
64753;Oliver O. Cortez;21;7/2/2003;Lycos;Legal Department;5009,57;;;
97973;Hedley G. Blake;19;5/9/2005;Macromedia;Media Relations;5332,93;;;
65559;Allistair B. Glass;53;19/2/1971;Lycos;Asset Management;2444,44;;;
94756;Lana I. Stark;27;11/13/1997;Microsoft;Customer Relations;5560,28;;;
86175;Keane D. Pena;27;13/6/1997;Macromedia;Human Resources;9608,05;;;
72938;Hannah C. Tyson;47;10/10/1977;Macromedia;Legal Department;3839,16;;;
92583;Shaeleigh E. Durham;62;2/3/1962;Adobe;Legal Department;9097,09;;;
50292;Keith G. Wilkinson;55;11/5/1969;Lavasoft;Media Relations;6671;;;
6065;Stone G. Harrison;27;18/11/1997;Cakewalk;Research and Development;8916,91;;;
92582;Zena Y. Page;58;4/4/1966;Lycos;Research and Development;9474,9;;;
7964;Addison N. Munoz;48;6/3/1976;Google;Human Resources;9905,06;;;
82814;Bevis V. Franco;41;12/11/1983;Microsoft;Quality Assurance;5756,09;;;
23495;Montana O. Heath;32;27/3/1992;Macromedia;Finances;6272,19;;;
15211;Sylvia X. Cline;63;21/7/1961;Apple Systems;Legal Department;4748,41;;;
66297;Lisandra K. Blevins;26;27/12/1998;Adobe;Sales and Marketing;2427,83;;;
77223;Joshua G. Mcknight;22;5/11/2002;Macromedia;Media Relations;8649,45;;;
15831;Cora G. Gutierrez;29;27/10/1995;Yahoo;Accounting;3808,34;;;
80884;Nolan R. Simon;24;18/11/2000;Yahoo;Public Relations;7909,88;;;
17564;Laura X. Hoffman;20;22/5/2004;Chami;Finances;6976,4;;;
41884;Emery Y. Franklin;44;4/11/1980;Borland;Public Relations;4862,33;;;
75036;McKenzie S. Dodson;45;24/9/1979;Microsoft;Tech Support;9344,93;;;
92675;Lacy Z. Serrano;46;3/10/1978;Finale;Legal Department;5102,26;;;
22396;Kessie I. Obrien;32;16/7/1992;Lycos;Research and Development;3338,74;;;
13783;Abdul F. West;40;23/7/1984;Google;Human Resources;1478,51;;;
11686;Gabriel P. Peck;70;14/1/1954;Adobe;Asset Management;1998,77;;;
4935;Emery L. Moody;49;25/4/1975;Microsoft;Tech Support;4867,97;;;
7761;Hall C. Knight;56;1/6/1968;Altavista;Tech Support;1461,07;;;
66552;Sean N. Sargent;67;14/9/1957;Google;Legal Department;3264,13;;;
21278;Darryl B. Farley;69;10/10/1955;Finale;Research and Development;3247,77;;;
98999;Sonya W. Kim;56;16/6/1968;Lavasoft;Media Relations;8451,72;;;
34455;Autumn W. Chen;34;15/6/1990;Lavasoft;Customer Service;3704,53;;;
75503;Bertha E. Perry;23;20/13/2001;Cakewalk;Public Relations;4207,29;;;
21040;Jasmine W. Combs;42;16/12/1982;Altavista;Customer Service;6791,52;;;
33673;Walter B. Barlow;58;27/9/1966;Lavasoft;Advertising;3314,2;;;
440;Damian L. Aguilar;32;28/6/1992;Lycos;Finances;5858,15;;;
45473;Avye G. Randolph;25;15/9/1999;Lavasoft;Customer Service;1666,95;;;
97830;Taylor D. Malone;40;19/6/1984;Cakewalk;Sales and Marketing;6735,65;;;
40396;Jaime V. Reed;33;10/12/1991;Cakewalk;Accounting;6349,65;;;
42107;Abra N. Gibbs;25;13/13/1999;Chami;Human Resources;1226,19;;;
58389;Hop X. Cooley;24;26/4/2000;Cakewalk;Customer Relations;4084,15;;;
8734;Petra K. Richardson;67;15/5/1957;Altavista;Payroll;8152,37;;;
38791;Olivia S. Peck;32;1/6/1992;Cakewalk;Accounting;5014,76;;;
47260;Mia B. Griffith;19;19/4/2005;Cakewalk;Customer Relations;2742,42;;;
46771;Colorado C. Howell;20;9/6/2004;Microsoft;Legal Department;9928,09;;;
33843;Skyler X. Mueller;27;26/8/1997;Yahoo;Public Relations;1817,37;;;
65651;Freya X. Gray;51;15/11/1973;Altavista;Accounting;2860,47;;;
24014;Quyn N. Mcmillan;52;13/11/1972;Altavista;Customer Relations;6805,91;;;
26003;Nathan F. Summers;28;22/3/1996;Google;Public Relations;1737,25;;;
7545;Virginia Q. Holland;45;14/3/1979;Yahoo;Accounting;6928,7;;;
11250;Zelda P. Lawrence;40;18/4/1984;Lavasoft;Tech Support;7520,64;;;
587;Fletcher T. Hull;50;23/4/1974;Finale;Tech Support;3572,27;;;
65360;Preston D. Wilkins;33;17/4/1991;Microsoft;Customer Service;3783,9;;;
44488;Kennan S. Byers;47;28/6/1977;Macromedia;Sales and Marketing;2151,08;;;
79702;James Y. Morrison;33;11/4/1991;Sibelius;Customer Service;5128,77;;;
73705;Iona D. Bradford;54;7/8/1970;Adobe;Research and Development;1161,02;;;
72185;Maisie O. Pierce;38;21/4/1986;Altavista;Research and Development;6888,44;;;
40218;Silas B. Cooley;54;26/9/1970;Altavista;Public Relations;6760,06;;;
36177;Baker G. Gates;68;19/5/1956;Yahoo;Media Relations;3899,64;;;
38557;Maile I. Barnett;35;24/9/1989;Macromedia;Asset Management;6239,25;;;
31684;Sharon L. Sullivan;67;12/11/1957;Macromedia;Research and Development;8597,09;;;
64588;Amity C. Salinas;70;11/4/1954;Lavasoft;Customer Relations;9613,75;;;
3444;Emmanuel D. Powell;51;9/1/1973;Apple Systems;Customer Service;2298,88;;;
44112;Clarke G. Dickson;24;20/6/2000;Microsoft;Payroll;8779,69;;;
98853;Christine N. Rodriquez;32;20/6/1992;Microsoft;Legal Department;6851,74;;;
8454;Demetria R. Wiley;50;1/9/1974;Yahoo;Accounting;3595,88;;;
99509;Aurelia C. Vaughn;20;15/3/2004;Macromedia;Advertising;4410,31;;;
36414;Phoebe M. Stout;58;17/13/1966;Finale;Quality Assurance;7606,78;;;
20782;Karly M. Armstrong;36;10/3/1988;Finale;Public Relations;2015,39;;;
33710;Tobias V. Pace;66;4/13/1958;Finale;Public Relations;4099,78;;;
12448;Jorden O. Santos;56;4/13/1968;Altavista;Public Relations;6312,93;;;
75025;Wilma U. Lancaster;57;5/6/1967;Cakewalk;Asset Management;5955,85;;;
10394;Mari B. Wiggins;37;21/4/1987;Sibelius;Finances;3539;;;
21691;Francis O. Avery;30;25/6/1994;Sibelius;Quality Assurance;6236,99;;;
40099;Cole D. Roach;47;23/2/1977;Lycos;Advertising;7931,64;;;
68300;Brynn N. Patton;37;28/3/1987;Microsoft;Asset Management;3919,45;;;
67601;Abigail P. Dyer;61;11/4/1963;Apple Systems;Media Relations;4775,19;;;
81820;Solomon K. Rosales;61;14/8/1963;Yahoo;Asset Management;3409,91;;;
88010;Hanae R. Henson;23;13/13/2001;Adobe;Sales and Marketing;2954,52;;;
76382;Patrick U. Graham;20;26/9/2004;Adobe;Finances;1071,77;;;
84641;Justine C. Dodson;27;7/5/1997;Borland;Quality Assurance;7169,71;;;
60926;Ann E. Bray;58;5/8/1966;Apple Systems;Sales and Marketing;5069,03;;;
21091;Patricia F. Bolton;31;12/3/1993;Sibelius;Public Relations;9272,97;;;
38060;Channing B. Huber;34;3/3/1990;Yahoo;Research and Development;4481,86;;;
3048;Seth L. Singleton;26;16/3/1998;Macromedia;Tech Support;3014,29;;;
26664;Sheila M. Hardin;25;29/7/1999;Sibelius;Media Relations;8796,05;;;
47658;Julie A. Oliver;45;27/9/1979;Macromedia;Accounting;4164,49;;;
7764;Todd E. Vega;47;2/12/1977;Microsoft;Tech Support;1137,76;;;
80094;Maia N. Leblanc;42;16/7/1982;Altavista;Human Resources;3652,74;;;
34341;Odette R. Gibson;26;9/7/1998;Microsoft;Customer Relations;3759,59;;;
76380;Leah P. Howell;30;27/7/1994;Lavasoft;Quality Assurance;5027,92;;;
37199;Beau J. Conner;54;10/6/1970;Microsoft;Public Relations;8516,49;;;
69568;Fredericka I. Gonzales;45;2/1/1979;Sibelius;Tech Support;9588,11;;;
85595;Nolan W. Joyce;43;28/3/1981;Macromedia;Tech Support;3608,96;;;
95739;Lani U. Owens;54;29/6/1970;Macromedia;Media Relations;9807,35;;;
58734;Wesley S. Stanton;25;23/11/1999;Sibelius;Finances;2613,39;;;
76301;Gage L. Monroe;21;26/7/2003;Sibelius;Public Relations;3957,56;;;
85748;Hope O. Beard;20;4/12/2004;Adobe;Advertising;4115,48;;;
43470;Aphrodite P. Merrill;56;27/6/1968;Finale;Customer Service;4116,15;;;
4585;Laurel U. Leonard;42;27/1/1982;Altavista;Quality Assurance;7153,22;;;
36927;Mia C. Molina;23;13/3/2001;Macromedia;Sales and Marketing;3089,09;;;
71051;Wynter S. Wolf;48;5/2/1976;Apple Systems;Public Relations;2482,48;;;
57165;Winter H. Garrison;23;27/12/2001;Yahoo;Finances;6309,72;;;
37070;Quinn G. Bean;67;13/11/1957;Cakewalk;Research and Development;2654,24;;;
35562;Melissa R. Hancock;44;3/8/1980;Altavista;Tech Support;1668,46;;;
38977;Aiko W. Hart;58;28/7/1966;Microsoft;Customer Relations;4781,2;;;
29073;Raphael H. Taylor;48;26/12/1976;Adobe;Asset Management;9881,26;;;
30841;Deanna Z. Lara;69;27/9/1955;Adobe;Research and Development;5623,84;;;
45832;Macon E. Rowe;62;20/5/1962;Apple Systems;Accounting;3648,85;;;
4526;Dorian A. Wolf;55;28/7/1969;Apple Systems;Asset Management;6554,27;;;
71958;Susan U. Raymond;34;9/8/1990;Lavasoft;Accounting;3753,22;;;
31400;Darius Y. Mosley;68;30/4/1956;Adobe;Asset Management;4738,5;;;
63323;Rhoda D. Kelly;52;2/5/1972;Apple Systems;Customer Service;8230,72;;;
29615;Cally I. Houston;66;10/10/1958;Lavasoft;Public Relations;8757,29;;;
39276;Omar M. Cervantes;66;9/8/1958;Adobe;Media Relations;6554,08;;;
17950;Xavier L. Gill;68;17/10/1956;Lavasoft;Media Relations;9911,36;;;
86041;Neil E. Myers;61;13/13/1963;Lycos;Payroll;6488,54;;;
73884;Brody P. Beach;70;2/8/1954;Lycos;Media Relations;5589,23;;;
82823;Clinton W. Hebert;52;1/10/1972;Lycos;Human Resources;4075,86;;;
32239;Dante U. Hayden;39;17/6/1985;Finale;Payroll;9215,42;;;
87646;Cassandra Y. Delgado;18;26/3/2006;Macromedia;Quality Assurance;9152,45;;;
32133;Pamela S. Rojas;19;20/1/2005;Macromedia;Sales and Marketing;2395,23;;;
67330;Brynn B. Brennan;53;22/6/1971;Borland;Advertising;1233,45;;;
5321;Anika M. Hart;70;17/6/1954;Altavista;Media Relations;2922,58;;;
25434;Avram C. Schmidt;46;20/8/1978;Cakewalk;Customer Relations;3148,19;;;
